"","Player","Team","Season","Minutes","Claiming","Fielding","Handling","Passing","Shotstopping","Sweeping","Goals Added"
"","Daniel Vitiello","SAC","2025","918","-0.02","0.05","0.46","0.02","3.43","0.16","4.09"
"","Nico Campuzano","MB","2025","1084","-0.02","0.13","-1.21","0.06","4.61","0.12","3.70"
"","Raiko Arozarena","LV","2025","685","0.05","-0.26","0.01","-0.05","2.07","0.14","1.95"
"","Luis Zamudio","CHS","2025","808","0.02","0.02","-0.85","-0.06","2.08","0.07","1.26"
"","Hugo Fauroux","LDN","2025","1000","0.05","-0.19","-0.20","0.02","1.39","0.06","1.12"
"","Matt Van Oekel","BHM","2025","898","-0.32","0.06","-0.21","0.01","1.10","0.05","0.69"
"","Christian Herrera","COS","2025","502","0.08","0.02","0.05","0.02","0.42","0.08","0.66"
"","Raphael Spiegel","OAK","2025","55","-0.00","0.00","0.05","-0.02","0.56","0.02","0.62"
"","Damian Las","LOU","2025","893","-0.05","0.07","-0.06","-0.17","0.73","0.01","0.55"
"","Kristopher Shakes","NM","2025","138","0.00","-0.00","-0.14","0.05","0.45","0.11","0.48"
"","Koke Vegas","RI","2025","902","-0.01","0.05","-0.17","0.34","0.78","-0.55","0.44"
"","Bill Hamid","MIA","2025","614","0.03","0.03","-0.20","-0.10","0.53","0.01","0.31"
"","Logan Ketterer","LEX","2025","1002","-0.08","0.07","-0.02","-0.32","0.68","-0.06","0.26"
"","Sebastian Mora-Mora","ELP","2025","103","0.00","0.01","0.04","-0.02","0.21","0.00","0.25"
"","Johan Penaranda","TUL","2025","707","0.03","0.05","-0.38","-0.06","0.92","-0.41","0.16"
"","Bryan Dowd","TUL","2025","209","0.00","0.02","0.03","-0.05","0.05","-0.01","0.05"
"","Carlos Saldaña","DET","2025","299","0.00","0.02","-0.14","-0.12","0.26","0.02","0.04"
"","Carlos Herrera","DET","2025","702","0.03","-0.03","-0.26","-0.18","0.31","0.10","-0.05"
"","Abraham Romero","COS","2025","499","0.05","0.08","0.06","0.18","-0.36","-0.09","-0.08"
"","Jake McGuire","NC","2025","1021","-0.14","0.05","-0.36","-0.11","0.38","0.04","-0.14"
"","Felipe Rodriguez","MIA","2025","200","0.04","0.02","0.05","-0.06","-0.09","-0.23","-0.25"
"","Christian Garner","CHS","2025","100","0.00","-0.03","0.02","0.02","-0.36","0.00","-0.35"
"","Kendall McIntosh","OAK","2025","977","0.04","0.08","-0.19","-0.07","-0.45","-0.02","-0.61"
"","Alex Tambakis","NM","2025","766","0.02","0.03","-0.13","0.08","-0.70","0.01","-0.70"
"","Gerold Ngnepi","HFD","2025","808","0.02","0.00","0.02","-0.02","-0.91","0.05","-0.85"
"","Triston Henry","PHX","2025","301","-0.01","-0.23","-0.12","-0.09","-1.12","-0.03","-1.60"
"","Nicholas Ammeter","LV","2025","213","0.01","0.02","-0.08","-0.05","-1.22","-0.30","-1.62"
"","Patrick Rakovsky","PHX","2025","711","0.04","0.06","-0.10","0.01","-2.01","0.13","-1.86"
"","Eric Dick","PIT","2025","899","0.00","-0.20","-0.24","-0.23","-1.55","-0.00","-2.22"
"","Richard Sánchez","SA","2025","1025","-0.05","0.09","-0.32","-0.02","-1.74","-0.93","-2.96"
"","Jahmali Waite","ELP","2025","910","0.04","-0.04","-0.44","-0.06","-2.90","0.16","-3.24"
"","Colin Shutler","OC","2025","908","0.05","0.04","0.12","0.16","-4.20","0.11","-3.73"
"","Hunter Sulte","IND","2025","807","0.05","0.04","-0.30","-0.26","-3.61","0.01","-4.06"
"","Nicolás Campisi","TBR","2025","897","-0.19","0.03","-0.23","-0.17","-3.82","-0.20","-4.58"