Date,home_team,Score,away_team,Venue
2025-07-12,Miami FC,NA,Lexington SC,South Dade Kia Field at Pitbull Stadium
2025-07-12,Indy Eleven,NA,Rhode Island FC,Michael A. Carroll Stadium
2025-07-12,Detroit City FC,NA,Hartford Athletic,Keyworth Stadium
2025-07-12,New Mexico United,NA,Charleston Battery,Isotopes Park
2025-07-12,Monterey Bay FC,NA,Orange County SC,Cardinale Stadium
2025-07-12,FC Tulsa,NA,Las Vegas Lights FC,ONEOK Field
2025-07-12,Oakland Roots SC,NA,Phoenix Rising FC,Oakland-Alameda County Coliseum
2025-07-12,San Antonio FC,NA,Tampa Bay Rowdies,Toyota Field
2025-07-13,Pittsburgh Riverhounds FC,NA,Loudoun United FC,Highmark Stadium
2025-07-16,Hartford Athletic,NA,Tampa Bay Rowdies,Trinity Health Stadium
2025-07-16,FC Tulsa,NA,Monterey Bay FC,ONEOK Field
2025-07-18,North Carolina FC,NA,Indy Eleven,First Horizon Stadium at WakeMed Soccer ...
2025-07-19,Rhode Island FC,NA,Hartford Athletic,Centreville Bank Stadium
2025-07-19,Charleston Battery,NA,Miami FC,Patriots Point Soccer Complex
2025-07-19,Loudoun United FC,NA,Oakland Roots SC,Segra Field
2025-07-19,Birmingham Legion FC,NA,Colorado Springs Switchbacks FC,Protective Stadium
2025-07-19,Louisville City FC,NA,FC Tulsa,Lynn Family Stadium
2025-07-19,Orange County SC,NA,Las Vegas Lights FC,Orange Country Great Park Championship S...
2025-07-19,Sacramento Republic FC,NA,Lexington SC,Heart Health Park
2025-07-19,Detroit City FC,NA,Pittsburgh Riverhounds FC,Keyworth Stadium
2025-07-29,Pittsburgh Riverhounds FC,NA,Miami FC,Highmark Stadium
2025-07-30,Hartford Athletic,NA,New Mexico United,Trinity Health Stadium
2025-07-30,Orange County SC,NA,Phoenix Rising FC,Orange Country Great Park Championship S...
2025-08-01,Colorado Springs Switchbacks FC,NA,Lexington SC,Weidner Field
2025-08-01,FC Tulsa,NA,Loudoun United FC,ONEOK Field
2025-08-02,El Paso Locomotive FC,NA,Las Vegas Lights FC,Southwest University Park
2025-08-02,San Antonio FC,NA,Sacramento Republic FC,Toyota Field
2025-08-02,Pittsburgh Riverhounds FC,NA,Rhode Island FC,Highmark Stadium
2025-08-02,Louisville City FC,NA,North Carolina FC,Lynn Family Stadium
2025-08-02,Indy Eleven,NA,Tampa Bay Rowdies,Michael A. Carroll Stadium
2025-08-02,Phoenix Rising FC,NA,Birmingham Legion FC,Phoenix Rising Soccer Stadium
2025-08-06,Monterey Bay FC,NA,FC Tulsa,Cardinale Stadium
2025-08-06,Rhode Island FC,NA,Detroit City FC,Centreville Bank Stadium
2025-08-06,Hartford Athletic,NA,Miami FC,Trinity Health Stadium
2025-08-09,North Carolina FC,NA,Tampa Bay Rowdies,First Horizon Stadium at WakeMed Soccer ...
2025-08-09,Miami FC,NA,El Paso Locomotive FC,South Dade Kia Field at Pitbull Stadium
2025-08-09,Detroit City FC,NA,Indy Eleven,Keyworth Stadium
2025-08-09,Rhode Island FC,NA,Loudoun United FC,Centreville Bank Stadium
2025-08-09,Las Vegas Lights FC,NA,San Antonio FC,Cashman Field
2025-08-09,Pittsburgh Riverhounds FC,NA,Orange County SC,Highmark Stadium
2025-08-09,Louisville City FC,NA,Charleston Battery,Lynn Family Stadium
2025-08-09,Oakland Roots SC,NA,Colorado Springs Switchbacks FC,Oakland-Alameda County Coliseum
2025-08-09,Birmingham Legion FC,NA,Hartford Athletic,Protective Stadium
2025-08-09,Sacramento Republic FC,NA,Monterey Bay FC,Heart Health Park
2025-08-09,Lexington SC,NA,Phoenix Rising FC,Lexington SC Stadium
2025-08-09,FC Tulsa,NA,New Mexico United,ONEOK Field
2025-08-15,North Carolina FC,NA,Detroit City FC,First Horizon Stadium at WakeMed Soccer ...
2025-08-16,Miami FC,NA,Louisville City FC,South Dade Kia Field at Pitbull Stadium
2025-08-16,Colorado Springs Switchbacks FC,NA,Orange County SC,Weidner Field
2025-08-16,El Paso Locomotive FC,NA,Monterey Bay FC,Southwest University Park
2025-08-16,Loudoun United FC,NA,Indy Eleven,Segra Field
2025-08-16,Hartford Athletic,NA,FC Tulsa,Trinity Health Stadium
2025-08-16,New Mexico United,NA,Las Vegas Lights FC,Isotopes Park
2025-08-16,Pittsburgh Riverhounds FC,NA,Charleston Battery,Highmark Stadium
2025-08-16,Sacramento Republic FC,NA,Oakland Roots SC,Heart Health Park
2025-08-16,Tampa Bay Rowdies,NA,Phoenix Rising FC,NA
2025-08-16,San Antonio FC,NA,Lexington SC,Toyota Field
2025-08-20,Orange County SC,NA,San Antonio FC,Orange Country Great Park Championship S...
2025-08-23,Louisville City FC,NA,New Mexico United,Lynn Family Stadium
2025-08-23,El Paso Locomotive FC,NA,Sacramento Republic FC,Southwest University Park
2025-08-23,Las Vegas Lights FC,NA,North Carolina FC,Cashman Field
2025-08-23,Monterey Bay FC,NA,San Antonio FC,Cardinale Stadium
2025-08-23,Indy Eleven,NA,Miami FC,Michael A. Carroll Stadium
2025-08-23,FC Tulsa,NA,Orange County SC,ONEOK Field
2025-08-23,Lexington SC,NA,Oakland Roots SC,Lexington SC Stadium
2025-08-23,Hartford Athletic,NA,Rhode Island FC,Trinity Health Stadium
2025-08-23,Birmingham Legion FC,NA,Pittsburgh Riverhounds FC,Protective Stadium
2025-08-23,Detroit City FC,NA,Tampa Bay Rowdies,Keyworth Stadium
2025-08-23,Phoenix Rising FC,NA,Colorado Springs Switchbacks FC,Phoenix Rising Soccer Stadium
2025-08-23,Charleston Battery,NA,Loudoun United FC,Patriots Point Soccer Complex
2025-08-30,Indy Eleven,NA,Louisville City FC,Michael A. Carroll Stadium
2025-08-30,Oakland Roots SC,NA,Monterey Bay FC,Oakland-Alameda County Coliseum
2025-08-30,Orange County SC,NA,Birmingham Legion FC,Orange Country Great Park Championship S...
2025-08-30,Las Vegas Lights FC,NA,Lexington SC,Cashman Field
2025-08-30,Detroit City FC,NA,San Antonio FC,Keyworth Stadium
2025-08-30,Colorado Springs Switchbacks FC,NA,FC Tulsa,Weidner Field
2025-08-30,Phoenix Rising FC,NA,El Paso Locomotive FC,Phoenix Rising Soccer Stadium
2025-08-30,Loudoun United FC,NA,Miami FC,Segra Field
2025-08-30,North Carolina FC,NA,Hartford Athletic,First Horizon Stadium at WakeMed Soccer ...
2025-08-30,Rhode Island FC,NA,Charleston Battery,Centreville Bank Stadium
2025-08-30,Tampa Bay Rowdies,NA,Pittsburgh Riverhounds FC,NA
2025-08-30,New Mexico United,NA,Sacramento Republic FC,Isotopes Park
2025-09-03,Hartford Athletic,NA,Indy Eleven,Trinity Health Stadium
2025-09-05,Phoenix Rising FC,NA,Las Vegas Lights FC,Phoenix Rising Soccer Stadium
2025-09-05,Lexington SC,NA,North Carolina FC,Lexington SC Stadium
2025-09-06,El Paso Locomotive FC,NA,Loudoun United FC,Southwest University Park
2025-09-06,Detroit City FC,NA,Orange County SC,Keyworth Stadium
2025-09-06,Rhode Island FC,NA,Louisville City FC,Centreville Bank Stadium
2025-09-06,Miami FC,NA,Hartford Athletic,South Dade Kia Field at Pitbull Stadium
2025-09-06,San Antonio FC,NA,New Mexico United,Toyota Field
2025-09-06,Tampa Bay Rowdies,NA,Sacramento Republic FC,NA
2025-09-06,FC Tulsa,NA,Birmingham Legion FC,ONEOK Field
2025-09-06,Colorado Springs Switchbacks FC,NA,Monterey Bay FC,Weidner Field
2025-09-06,Charleston Battery,NA,Indy Eleven,Patriots Point Soccer Complex
2025-09-06,Oakland Roots SC,NA,Pittsburgh Riverhounds FC,Oakland-Alameda County Coliseum
2025-09-10,New Mexico United,NA,Detroit City FC,Isotopes Park
2025-09-12,North Carolina FC,NA,El Paso Locomotive FC,First Horizon Stadium at WakeMed Soccer ...
2025-09-12,Lexington SC,NA,Orange County SC,Lexington SC Stadium
2025-09-13,Loudoun United FC,NA,San Antonio FC,Segra Field
2025-09-13,Charleston Battery,NA,Oakland Roots SC,Patriots Point Soccer Complex
2025-09-13,Tampa Bay Rowdies,NA,Colorado Springs Switchbacks FC,NA
2025-09-13,New Mexico United,NA,FC Tulsa,Isotopes Park
2025-09-13,Sacramento Republic FC,NA,Phoenix Rising FC,Heart Health Park
2025-09-13,Rhode Island FC,NA,Indy Eleven,Centreville Bank Stadium
2025-09-13,Pittsburgh Riverhounds FC,NA,Louisville City FC,Highmark Stadium
2025-09-13,Monterey Bay FC,NA,Hartford Athletic,Cardinale Stadium
2025-09-13,Las Vegas Lights FC,NA,Miami FC,Cashman Field
2025-09-17,Birmingham Legion FC,NA,Tampa Bay Rowdies,Protective Stadium
2025-09-20,Colorado Springs Switchbacks FC,NA,Sacramento Republic FC,Weidner Field
2025-09-20,Detroit City FC,NA,Lexington SC,Keyworth Stadium
2025-09-20,El Paso Locomotive FC,NA,Charleston Battery,Southwest University Park
2025-09-20,Louisville City FC,NA,Las Vegas Lights FC,Lynn Family Stadium
2025-09-20,San Antonio FC,NA,Orange County SC,Toyota Field
2025-09-20,Oakland Roots SC,NA,FC Tulsa,Oakland-Alameda County Coliseum
2025-09-20,Miami FC,NA,Rhode Island FC,South Dade Kia Field at Pitbull Stadium
2025-09-20,Tampa Bay Rowdies,NA,North Carolina FC,NA
2025-09-20,Hartford Athletic,NA,Pittsburgh Riverhounds FC,Trinity Health Stadium
2025-09-20,Monterey Bay FC,NA,New Mexico United,Cardinale Stadium
2025-09-20,Phoenix Rising FC,NA,Loudoun United FC,Phoenix Rising Soccer Stadium
2025-09-21,Indy Eleven,NA,Birmingham Legion FC,Michael A. Carroll Stadium
2025-09-24,Colorado Springs Switchbacks FC,NA,New Mexico United,Weidner Field
2025-09-26,North Carolina FC,NA,Miami FC,First Horizon Stadium at WakeMed Soccer ...
2025-09-27,Indy Eleven,NA,FC Tulsa,Michael A. Carroll Stadium
2025-09-27,Phoenix Rising FC,NA,Oakland Roots SC,Phoenix Rising Soccer Stadium
2025-09-27,Detroit City FC,NA,Louisville City FC,Keyworth Stadium
2025-09-27,San Antonio FC,NA,Birmingham Legion FC,Toyota Field
2025-09-27,Orange County SC,NA,Charleston Battery,Orange Country Great Park Championship S...
2025-09-27,Monterey Bay FC,NA,Sacramento Republic FC,Cardinale Stadium
2025-09-27,El Paso Locomotive FC,NA,Rhode Island FC,Southwest University Park
2025-09-27,Colorado Springs Switchbacks FC,NA,Hartford Athletic,Weidner Field
2025-09-27,Pittsburgh Riverhounds FC,NA,Las Vegas Lights FC,Highmark Stadium
2025-09-28,New Mexico United,NA,Lexington SC,Isotopes Park
2025-09-28,Loudoun United FC,NA,Tampa Bay Rowdies,Segra Field
2025-10-01,El Paso Locomotive FC,NA,Oakland Roots SC,Southwest University Park
2025-10-01,Sacramento Republic FC,NA,Orange County SC,Heart Health Park
2025-10-04,Loudoun United FC,NA,Birmingham Legion FC,Segra Field
2025-10-04,Miami FC,NA,Pittsburgh Riverhounds FC,South Dade Kia Field at Pitbull Stadium
2025-10-04,Phoenix Rising FC,NA,New Mexico United,Phoenix Rising Soccer Stadium
2025-10-04,Tampa Bay Rowdies,NA,Monterey Bay FC,NA
2025-10-04,Oakland Roots SC,NA,Hartford Athletic,Oakland-Alameda County Coliseum
2025-10-04,FC Tulsa,NA,Lexington SC,ONEOK Field
2025-10-04,Louisville City FC,NA,Indy Eleven,Lynn Family Stadium
2025-10-04,Colorado Springs Switchbacks FC,NA,San Antonio FC,Weidner Field
2025-10-04,Orange County SC,NA,El Paso Locomotive FC,Orange Country Great Park Championship S...
2025-10-04,Detroit City FC,NA,North Carolina FC,Keyworth Stadium
2025-10-05,Sacramento Republic FC,NA,Charleston Battery,Heart Health Park
2025-10-05,Rhode Island FC,NA,Las Vegas Lights FC,Centreville Bank Stadium
2025-10-10,North Carolina FC,NA,Phoenix Rising FC,First Horizon Stadium at WakeMed Soccer ...
2025-10-11,Charleston Battery,NA,Colorado Springs Switchbacks FC,Patriots Point Soccer Complex
2025-10-11,Pittsburgh Riverhounds FC,NA,Indy Eleven,Highmark Stadium
2025-10-11,Lexington SC,NA,El Paso Locomotive FC,Lexington SC Stadium
2025-10-11,Detroit City FC,NA,Loudoun United FC,Keyworth Stadium
2025-10-11,Rhode Island FC,NA,Tampa Bay Rowdies,Centreville Bank Stadium
2025-10-11,Louisville City FC,NA,Miami FC,Lynn Family Stadium
2025-10-11,Las Vegas Lights FC,NA,Oakland Roots SC,Cashman Field
2025-10-11,FC Tulsa,NA,San Antonio FC,ONEOK Field
2025-10-11,New Mexico United,NA,Orange County SC,Isotopes Park
2025-10-11,Hartford Athletic,NA,Sacramento Republic FC,Trinity Health Stadium
2025-10-16,Birmingham Legion FC,NA,North Carolina FC,Protective Stadium
2025-10-17,Lexington SC,NA,Sacramento Republic FC,Lexington SC Stadium
2025-10-18,Colorado Springs Switchbacks FC,NA,Las Vegas Lights FC,Weidner Field
2025-10-18,Monterey Bay FC,NA,Pittsburgh Riverhounds FC,Cardinale Stadium
2025-10-18,Charleston Battery,NA,Detroit City FC,Patriots Point Soccer Complex
2025-10-18,Orange County SC,NA,Louisville City FC,Orange Country Great Park Championship S...
2025-10-18,Phoenix Rising FC,NA,San Antonio FC,Phoenix Rising Soccer Stadium
2025-10-18,El Paso Locomotive FC,NA,FC Tulsa,Southwest University Park
2025-10-18,Tampa Bay Rowdies,NA,Hartford Athletic,NA
2025-10-18,New Mexico United,NA,Oakland Roots SC,Isotopes Park
2025-10-18,Indy Eleven,NA,Loudoun United FC,Michael A. Carroll Stadium
2025-10-19,North Carolina FC,NA,Rhode Island FC,First Horizon Stadium at WakeMed Soccer ...
2025-10-19,Birmingham Legion FC,NA,Miami FC,Protective Stadium
2025-10-25,San Antonio FC,NA,El Paso Locomotive FC,Toyota Field
2025-10-25,Louisville City FC,NA,Hartford Athletic,Lynn Family Stadium
2025-10-25,FC Tulsa,NA,Colorado Springs Switchbacks FC,ONEOK Field
2025-10-25,Tampa Bay Rowdies,NA,Detroit City FC,NA
2025-10-25,Sacramento Republic FC,NA,Miami FC,Heart Health Park
2025-10-25,Charleston Battery,NA,Birmingham Legion FC,Patriots Point Soccer Complex
2025-10-25,Oakland Roots SC,NA,Lexington SC,Oakland-Alameda County Coliseum
2025-10-25,Monterey Bay FC,NA,Las Vegas Lights FC,Cardinale Stadium
2025-10-25,Pittsburgh Riverhounds FC,NA,Phoenix Rising FC,Highmark Stadium
2025-10-25,Loudoun United FC,NA,North Carolina FC,Segra Field
2025-10-25,Orange County SC,NA,Indy Eleven,Orange Country Great Park Championship S...
2025-10-25,New Mexico United,NA,Rhode Island FC,Isotopes Park
